Kratica stranke,Ime stranke,Predsednik,Člani
SNS,Slovenska nacionalna stranka,Zmago Jelinčič Plemeniti,"Alenka Gabrovec,Tomaž Grohar,Stanislav Žagar,Vilko Rozman,Otton Zajec Tržič,Janez Jeras,Monika Bregant,Monika Rožanc,Iztok Mrak,Valerija Trost,Svetlana Aleksovska,Vladimir Skok,Romano Brozina,Tjaša Margon,Leonida Gregorič,Saša Otoničar,Janja Mišič,Jože Kovač ,Simo Marić,Janja Hostnik,Dušan Dolar,Alenka Jelenovič,Tina Vrenko,Franc Mišič,Erika Brumen,Sonny Beronja,Matjaž Perše,Robert Polnar,Konrad Križanec,Suzana Gajšek,Staša Moškotevc,Primož Vengušt,Tjaša Založnik,Matevž Perovec,Marijana Kresnik,Gregor Vrtič,Sabina Barič,Boštjan Kovačič,Ingrid Hodnik,Leona Gošek,Dušan Šiško,Jelka Rostohar Božič,Bojan Kovačič,Srečko Prijatelj,Tanja Rožan,Zmago Jelinčič Plemeniti,Katarina Žunko,Rok Bukovšek,Martin Horvat,Miranda Osterc Zinrajh,Erika Štrucl Lendava,Jani Ivanuša,Valerija Markuš,David Dominko,Branka Rojht,Zvonko Zinrajh,Dejan Horvat,Bojan Sabotin,Melissa Pipenbacher"
SSN,Stranka slovenskega naroda,Miha Majc,"Miha Majc,Aleš Ernecl,Zdenko Vinkov"
SAK,Stranka Aleksandra Kamenika,Aleksander Kamenik,
SD,Socialni demokrati,Tanja Fajon,"Tanja Fajon,Andreja Katič,dr. Dominika Švarc Pipan,Matjaž Nemec,dr. Jernej Pikalo,mag. Dejan Levanič,dr. Milan Brglez,dr. Anja Kopač,dr. Jure Meglič,Matjaž Han,Predrag Baković,Samo Bevk,mag. Meira Hot,Soniboj Knežak,mag. Marko Koprivc,mag. Bojana Muršič,Matjaž Nemec,Jani Prednik,mag. Dejan Židan,dr. Franc Trček,Gregor Židan,Željko Cigler,Miroslav Pretnar,Tanja Fajon,dr. Milan Brglez,Tadej Beočanin,Valter Mlekuž,Saša Likavec Svetelšek,Janko Kos,Tina Gerbec,Matjaž Rakovec,Darko Zevnik,Bojan Borovnik,dr. Aleksander Jevšek,Tomaž Režun,Anton Kovše,Vinko Debelak,Nuška Gajšek,Srečko Geč,Darko Ratajc,Peter Dermol,Luka Goršek,Dušan Semolič,Miloš Pavlica,Gregor Goričar,Tanja Bolte"
SAB,Stranka Alenke Bratušek,Alenka Bratušek,"Tatjana Voj,Olga Belec,Jerko Čehovin,Marko Bandelli,mag. Andrej Rajh,mag. Alenka Bratušek,Jernej Pavlič,Vojko Starović,Slavko Šterman,Maša Kociper,Roman Jakič,mag. Branislav Rajić"
VESNA,VESNA – zelena stranka,Urša Zgojznik in Uroš Macerl,"Urša Zgojznik,Uroš Macerl,Jasmina Jerant,Klemen Belhar,Manuela Korečič,Miha Stegel,Jernej Fefer,Patricija Marolt,Helena Ilić Breznik,Tomi Prosnik,Gregor Fras,Robert Godina,Tina Magajne Praprotnik,Miha Lovše,Jaka Zevnik,Andreja Marolt,Velimir Živković,Saša Fras,Erika Oblak,Ana Adamič,Metka Gaberc,Tina Robič,Milena Dežman,Danilo Bertoncelj,Klemen Belhar,Ana Veternik,Pavel Gartnar Kastelic,Metka Gaberc,Dean Jug,Erika Oblak,Andreja Pogačar,Erika Oblak,Saša Hreščak,Andrej Mikola,Saša Hreščak,Jasmina Jerant,Miha Stegel,Anton Zobec,Nace Peric,Nace Peric,Ana Jug,Manuela Korečič,Mojca Milone,Žiga Valetič,Jernej Fefer,Anja Završnik,Jaka Zevnik,Alja Miklavčič,Nina Lesjak,Črt Batagelj,Urška Zgojznik,Saša Fras,Nenad Đorđević,Gregor Gregorčič,Vanjo Grobljar,Natali Kriletić,Gorazd Bernik,Barbara Šimenc,Velimir Živković,Luka Florjanc,Saša Đorđević,Petra Stegel,Uroš Macerl,Andreja  Marolt,Tanja Mrkun,Ibrahim Nouhoum,Edi Einspieler,Nejc Gajšek,Mihaela Anclin,Urška Repar,Luka Zgojznik,Jasminka Dedić,Sabina Fetić,Davor Pečnik,Zoran Rožič,Lucija Mlinarič,Marko Puh,Janez Penca,Marko Dular,Gorazd Marinček,Marija Marinček,Alenka Leskovšek,Ana Markelj,Matic Rotar,Erna Šekli,Nermin Bajramović,Vladimir Poredoš,Andrej Černelč,Boštjan Selinšek,Simon Žlahtič,Tomi Prosnik,Katja Beck Kos,Simon Žlahtič,Nina Gornik Mulec,Petra Greiner,Petra Greiner,Miha Lovše,Katarina Kušar,Gabrijela Starešina Fras,Andrejka Belhar Polanc,Miran  Rajšp,Tina Hozjan Žižek,Romeo Varga,Andrejka Belhar Polanc,Miran Rajšp,Mihael Jazbinšek,Nejc Herjavec,Mihael Jazbinšek,Nika Pušič"
ZLS,Za ljudstvo Slovenije,Anica Bidar,"Tomaž Jelenc,Andrej Bolčina,Viljem Plevnik,Bojan Pivk,Ivan Kastigar,Romana Brzin,Adrijana Mrak,Zdenka Čemažar,Vida Tekavčič,Bruno Tenčić,Lara Lovrečič,Borut Loboda,Robert Močnik,Stanko Fišer,Irena Ličen,Karmen Peternelj,Andreja Novak,Samir Hvalec,Darko Fekete,Damjan Gregorič,Tanja Nosan,Ivanka Kostanjevec,Leja Kralj,Boštjan Krajnc,Valter Gregor Oprešnik,Borut Bevc,Maja Penko,Anita Jeruc,Gorazd Rejc,Roman Zalokar,Marko Kramer,Esmeralda Vidmar,Andrej Golenač,Jure Podergajs,Nika Bidar,Maša Brzin,Igor Jožef Bahč,Robert Šinkovec,Miloš Škorc,Andreja Zaljetelj,Tadeja Vrstovšek,Boris Gabrijel,Tanja Mencin,Darja Požun,Dušanka Strnad,Bogomir Gajser,Matija Matić,Bojan Papež,Nina Mihelič,Janja Zorko,Damijan Planar,Vesna Ornik (,Matej Bidar,Renata Požgan Bubek,Natalija Majcen,Jožica Jurjaševič,Zdenko Čuš,Bojan Krejač,Marinka Dajčman,Radko Hriberšek,Jelena Novak,Karmen Ivančič"
ZOS,Zavezništvo Osvobodimo Slovenijo,,
ZSi,Gibanje Zedinjena Slovenija,Andrej Šiško,
Zeleni,Zeleni Slovenije,Andrej Čuš,"Andrej Čuš,dr. Nada Pavšer,Zvonko Lah,Nejc Škof,dr. Gorazd Pretnar,Ines Deželak,Gregor Horvatič,Sebastjan Kamenik"
ZzD,Zveza za dolenjsko,Alenka Muhič,
PoS,Povežimo Slovenijo,Zdravko Počivalšek,
